dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_390	M	0.17391304347826086	0.6086956521739131	0.21739130434782608	23	0.3913043478260869
DGRP_390	NA	NA	1	NA	7	0
DGRP_391	F	0.09333333333333334	0.7066666666666667	0.2	75	0.29333333333333333
DGRP_391	M	0.16666666666666666	0.7142857142857143	0.11904761904761904	84	0.2857142857142857
DGRP_391	NA	0.017857142857142856	0.5714285714285714	0.4107142857142857	56	0.42857142857142855
DGRP_392	F	0.08695652173913043	0.7971014492753623	0.11594202898550725	69	0.2028985507246377
DGRP_392	M	0.25333333333333335	0.5866666666666667	0.16	75	0.41333333333333333
DGRP_392	NA	0.15384615384615385	0.5769230769230769	0.2692307692307692	52	0.4230769230769231
DGRP_393	F	NA	0.75	0.25	12	0.25
DGRP_393	M	0.07142857142857142	0.75	0.17857142857142858	28	0.25
DGRP_393	NA	0.11764705882352941	0.7058823529411765	0.17647058823529413	17	0.29411764705882354
DGRP_395	F	0.14285714285714285	0.8095238095238095	0.047619047619047616	21	0.19047619047619047
DGRP_395	M	0.16666666666666666	0.7777777777777778	0.05555555555555555	18	0.2222222222222222
DGRP_395	NA	NA	1	NA	7	0
DGRP_397	F	0.21739130434782608	0.43478260869565216	0.34782608695652173	23	0.5652173913043478
DGRP_397	M	0.34782608695652173	0.5652173913043478	0.08695652173913043	23	0.43478260869565216
DGRP_397	NA	0.42857142857142855	0.42857142857142855	0.14285714285714285	7	0.5714285714285714
DGRP_398	F	0.15789473684210525	0.7894736842105263	0.05263157894736842	19	0.21052631578947367
DGRP_398	M	0.08108108108108109	0.7027027027027027	0.21621621621621623	37	0.2972972972972973
DGRP_398	NA	0.15789473684210525	0.7368421052631579	0.10526315789473684	19	0.2631578947368421
DGRP_399	F	0.21333333333333335	0.6133333333333333	0.17333333333333334	75	0.3866666666666667
DGRP_399	M	0.16470588235294117	0.611764705882353	0.2235294117647059	85	0.38823529411764707
DGRP_399	NA	0.0392156862745098	0.8431372549019608	0.11764705882352941	51	0.1568627450980392
DGRP_405	F	0.11320754716981132	0.71698113207547165	0.16981132075471697	53	0.2830188679245283
DGRP_405	M	0.14285714285714285	0.7380952380952381	0.11904761904761904	42	0.26190476190476186
DGRP_405	NA	0.23076923076923078	0.46153846153846156	0.3076923076923077	52	0.5384615384615385
DGRP_406	F	0.19642857142857142	0.6785714285714286	0.125	56	0.3214285714285714
DGRP_406	M	0.17777777777777778	0.6666666666666666	0.15555555555555556	45	0.33333333333333337
DGRP_406	NA	0.2692307692307692	0.5384615384615384	0.19230769230769232	52	0.46153846153846156
DGRP_409	F	0.3230769230769231	0.5846153846153846	0.09230769230769231	65	0.4153846153846154
DGRP_409	M	0.34782608695652173	0.5869565217391305	0.06521739130434782	46	0.41304347826086957
DGRP_409	NA	0.425531914893617	0.46808510638297873	0.10638297872340426	47	0.5319148936170213
DGRP_424	NA	0.18181818181818182	0.8181818181818182	NA	11	0.18181818181818182
DGRP_426	F	0.2537313432835821	0.6865671641791045	0.05970149253731343	67	0.31343283582089554
DGRP_426	M	0.16901408450704225	0.704225352112676	0.1267605633802817	71	0.29577464788732394
DGRP_426	NA	0.09615384615384616	0.7115384615384616	0.19230769230769232	52	0.2884615384615385
DGRP_427	F	0.19230769230769232	0.6794871794871795	0.1282051282051282	78	0.3205128205128205
DGRP_427	M	0.13414634146341464	0.7439024390243902	0.12195121951219512	82	0.25609756097560976
DGRP_427	NA	0.08888888888888889	0.6444444444444445	0.26666666666666666	45	0.35555555555555557
DGRP_437	F	0.1125	0.7625	0.125	80	0.2375
DGRP_437	M	0.1511627906976744	0.6976744186046512	0.1511627906976744	86	0.3023255813953488
DGRP_437	NA	0.08928571428571429	0.6607142857142857	0.25	56	0.3392857142857143
DGRP_439	F	0.17391304347826086	0.7391304347826086	0.08695652173913043	46	0.2608695652173913
DGRP_439	M	0.1951219512195122	0.7560975609756098	0.04878048780487805	41	0.24390243902439024
DGRP_439	NA	0.22916666666666666	0.6875	0.08333333333333333	48	0.3125
DGRP_440	F	0.08	0.6933333333333334	0.22666666666666666	75	0.30666666666666664
DGRP_440	M	0.09876543209876543	0.7654320987654321	0.13580246913580246	81	0.2345679012345679
